ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"61403","10 PACK OF ZZAND","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,7.9900,0.0000,0.0000,3.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.3900,Unit,,,,,"","","","","","","","","","","","","","","Title","","","","","","FaireImport,Wholesale","","Tax Exempt","Tax Exempt",ACTIVE,"Your kids will play and learn, with the premium ZZand 10 Individual Colored Party Pack Sand Art Kit.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">This amazing complete sand kit will offer them long hours of creative play, either in the privacy of their room or in the company of their friends in the classroom.<br data-mce-fragment=""1"">Give Your Kid’s Imagination Wings!<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Thrill your children with an irresistible kit of play sand that will educate and entertain them. Kids learn through play and by building their imaginative pyramids, castles, and towers, they develop their imagination, cultivate their hand-eye coordination, learn how to cooperate with their peers and boost their confidence. <br data-mce-fragment=""1""><br data-mce-fragment=""1"">And above all, our sensory sand kit is made of 100% nontoxic, safe materials!","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"61403-Case Pack 10","10 PACK OF ZZAND-Case Pack 10","Toys","",Stock,,FIFO,26.2500,11.5000,7.0000,17.0000,26.2500,11.5000,7.0000,10.0000,0.0000,1.222800,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,Case Pack 10,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"Your kids will play and learn, with the premium ZZand 10 Individual Colored Party Pack Sand Art Kit.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">This amazing complete sand kit will offer them long hours of creative play, either in the privacy of their room or in the company of their friends in the classroom.<br data-mce-fragment=""1"">Give Your Kid’s Imagination Wings!<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Thrill your children with an irresistible kit of play sand that will educate and entertain them. Kids learn through play and by building their imaginative pyramids, castles, and towers, they develop their imagination, cultivate their hand-eye coordination, learn how to cooperate with their peers and boost their confidence. <br data-mce-fragment=""1""><br data-mce-fragment=""1"">And above all, our sensory sand kit is made of 100% nontoxic, safe materials!","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"64741","10PK CANDY CANE DOUGH PLAYSET","Toys","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"64742","10PK CANDY CANE DOUGH PLAYSET","Toys","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"10408","10pk Kiddy Dough","Toys","KIDDY DOUGH",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.9000,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"10408-Case Pack 6","10pk Kiddy Dough-Case Pack 6","Toys","KIDDY DOUGH",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"Yiwu Jiteng Toys Co.,LTD","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,11.4000,Case Pack 6,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"10303","12 Pack 4 Oz Dough","Toys","KIDDY DOUGH",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"10303-Case Pack 6","12 Pack 4 Oz Dough-Casepack 6","Toys","KIDDY DOUGH",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,Case Pack 6,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"61187","12 Pcs Chalk bucket","Toys","Chalkriffic",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"653899611873",0.0000,0.0000,FOB,,"","",0.0000000,49.8000,0.0000,0.0000,12.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.5100,Unit,,,,,"","","","","","","","","","","","","CK-CHALKBUCK-77000","Creative Kids Chalks Family","color","Multicolor","size","1 Count (Pack of 144)","style","144 Pcs Set","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"61187-Case Pack 12, Inner 4","12 Pcs Chalk bucket-Case Pack 12, Inner 4","Toys","Chalkriffic",Stock,,FIFO,10.5000,9.0000,9.5000,9.2000,10.5000,9.0000,9.5000,4.0000,0.0000,0.519500,lb,in,"",0.0000,0.0000,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd","724510","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,"Case Pack 12, Inner 4",,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
